127.0.0.1 - - [17/Jul/2017:10:09:08 +0800] "GET / HTTP/1.1" 200 1170
127.0.0.1 - - [17/Jul/2017:10:09:09 +0800] "GET /SpringMVC/ HTTP/1.1" 302 -
127.0.0.1 - - [17/Jul/2017:10:09:10 +0800] "GET /SpringMVC/home HTTP/1.1" 200 76253
127.0.0.1 - - [17/Jul/2017:10:09:10 +0800] "GET /SpringMVC/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [17/Jul/2017:10:09:10 +0800] "GET /SpringMVC/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [17/Jul/2017:10:09:10 +0800] "GET /SpringMVC/css/D3_2.css HTTP/1.1" 200 39452
127.0.0.1 - - [17/Jul/2017:10:09:10 +0800] "GET /SpringMVC/js/jquery-3.2.0.min.js HTTP/1.1" 200 86600
127.0.0.1 - - [17/Jul/2017:10:09:10 +0800] "GET /SpringMVC/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Jul/2017:10:09:10 +0800] "GET /SpringMVC/css/D3.css HTTP/1.1" 200 682346
127.0.0.1 - - [17/Jul/2017:10:09:12 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [17/Jul/2017:10:24:11 +0800] "GET /SpringMVC/home/addRecipe HTTP/1.1" 200 13599
127.0.0.1 - - [17/Jul/2017:10:24:11 +0800] "GET /SpringMVC/js/addRecipe.js HTTP/1.1" 200 1566
127.0.0.1 - - [17/Jul/2017:10:24:11 +0800] "GET /SpringMVC/images/upload.jpg HTTP/1.1" 200 5151
127.0.0.1 - - [17/Jul/2017:10:24:53 +0800] "GET /SpringMVC/home/addRecipe HTTP/1.1" 200 13599
127.0.0.1 - - [17/Jul/2017:10:24:53 +0800] "GET /SpringMVC/css/D3_2.css HTTP/1.1" 200 39452
127.0.0.1 - - [17/Jul/2017:10:24:54 +0800] "GET /SpringMVC/js/jquery-3.2.0.min.js HTTP/1.1" 200 86600
127.0.0.1 - - [17/Jul/2017:10:24:54 +0800] "GET /SpringMVC/css/D3.css HTTP/1.1" 200 682346
127.0.0.1 - - [17/Jul/2017:10:24:54 +0800] "GET /SpringMVC/js/addRecipe.js HTTP/1.1" 200 1576
127.0.0.1 - - [17/Jul/2017:10:24:54 +0800] "GET /SpringMVC/images/upload.jpg HTTP/1.1" 200 5151
127.0.0.1 - - [17/Jul/2017:10:24:54 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [17/Jul/2017:10:26:01 +0800] "GET /SpringMVC/home/addRecipe HTTP/1.1" 200 13599
127.0.0.1 - - [17/Jul/2017:10:26:01 +0800] "GET /SpringMVC/js/addRecipe.js HTTP/1.1" 200 1625
127.0.0.1 - - [17/Jul/2017:10:26:03 +0800] "GET /SpringMVC/home/addRecipe HTTP/1.1" 200 13599
127.0.0.1 - - [17/Jul/2017:10:26:03 +0800] "GET /SpringMVC/css/D3_2.css HTTP/1.1" 200 39452
127.0.0.1 - - [17/Jul/2017:10:26:03 +0800] "GET /SpringMVC/js/jquery-3.2.0.min.js HTTP/1.1" 200 86600
127.0.0.1 - - [17/Jul/2017:10:26:03 +0800] "GET /SpringMVC/css/D3.css HTTP/1.1" 200 682346
127.0.0.1 - - [17/Jul/2017:10:26:03 +0800] "GET /SpringMVC/js/addRecipe.js HTTP/1.1" 200 1625
127.0.0.1 - - [17/Jul/2017:10:26:03 +0800] "GET /SpringMVC/images/upload.jpg HTTP/1.1" 200 5151
127.0.0.1 - - [17/Jul/2017:10:26:21 +0800] "GET /SpringMVC/home/addRecipe HTTP/1.1" 200 13599
127.0.0.1 - - [17/Jul/2017:10:26:21 +0800] "GET /SpringMVC/css/D3_2.css HTTP/1.1" 200 39452
127.0.0.1 - - [17/Jul/2017:10:26:22 +0800] "GET /SpringMVC/css/D3.css HTTP/1.1" 200 682346
127.0.0.1 - - [17/Jul/2017:10:26:22 +0800] "GET /SpringMVC/js/jquery-3.2.0.min.js HTTP/1.1" 200 86600
127.0.0.1 - - [17/Jul/2017:10:26:22 +0800] "GET /SpringMVC/js/addRecipe.js HTTP/1.1" 200 1625
127.0.0.1 - - [17/Jul/2017:10:26:22 +0800] "GET /SpringMVC/images/upload.jpg HTTP/1.1" 200 5151
127.0.0.1 - - [17/Jul/2017:10:26:22 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [17/Jul/2017:10:27:14 +0800] "GET /SpringMVC/home/addRecipe HTTP/1.1" 200 13599
127.0.0.1 - - [17/Jul/2017:10:27:14 +0800] "GET /SpringMVC/js/addRecipe.js HTTP/1.1" 200 1723
127.0.0.1 - - [17/Jul/2017:10:27:18 +0800] "GET /SpringMVC/home/addRecipe HTTP/1.1" 200 13599
127.0.0.1 - - [17/Jul/2017:10:27:19 +0800] "GET /SpringMVC/js/addRecipe.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Jul/2017:10:27:32 +0800] "GET /SpringMVC/home/addRecipe HTTP/1.1" 200 13599
127.0.0.1 - - [17/Jul/2017:10:27:32 +0800] "GET /SpringMVC/js/addRecipe.js HTTP/1.1" 200 1723
127.0.0.1 - - [17/Jul/2017:10:33:44 +0800] "GET /SpringMVC/home/addRecipe HTTP/1.1" 200 13599
127.0.0.1 - - [17/Jul/2017:10:33:44 +0800] "GET /SpringMVC/css/D3.css HTTP/1.1" 200 682346
127.0.0.1 - - [17/Jul/2017:10:33:44 +0800] "GET /SpringMVC/css/D3_2.css HTTP/1.1" 200 39452
127.0.0.1 - - [17/Jul/2017:10:33:44 +0800] "GET /SpringMVC/js/jquery-3.2.0.min.js HTTP/1.1" 200 86600
127.0.0.1 - - [17/Jul/2017:10:33:44 +0800] "GET /SpringMVC/js/addRecipe.js HTTP/1.1" 200 1641
127.0.0.1 - - [17/Jul/2017:10:33:44 +0800] "GET /SpringMVC/images/upload.jpg HTTP/1.1" 200 5151
127.0.0.1 - - [17/Jul/2017:10:33:44 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [17/Jul/2017:14:15:56 +0800] "GET /SpringMVC/home/addRecipe HTTP/1.1" 200 13599
